base_price,competitor_price,demand,stock,is_holiday,target_price
99.26,94.93,0.37,123,0,101.75
475.13,473.83,0.66,76,1,503.78
79.24,75.31,0.4,109,0,74.83
149.22,136.68,0.62,2,1,162.46
333.4,322.05,1.0,60,0,353.49
271.03,290.89,0.59,2,1,299.66
150.72,152.2,0.81,97,0,160.62
172.83,171.9,0.86,194,1,191.73
414.28,420.49,0.33,123,0,413.74
375.54,375.37,0.52,197,1,378.42
452.52,472.17,0.68,66,0,460.19
304.58,295.26,0.51,5,0,316.13
160.38,146.67,0.41,44,0,158.07
328.38,338.48,0.31,6,1,366.82
259.46,274.62,0.55,81,1,281.86
278.36,258.62,0.47,12,0,286.99
334.32,324.71,0.63,162,0,317.57
58.29,55.58,0.93,62,0,58.35
389.16,400.72,0.6,67,0,394.71
80.31,83.59,0.38,192,0,74.23
433.59,453.19,0.38,179,0,419.54
59.96,52.9,0.88,78,1,63.25
50.46,36.82,0.64,98,0,43.01
407.66,415.41,0.49,115,1,435.55
153.52,138.78,0.13,57,1,143.39
145.9,127.14,0.39,24,0,140.9
262.19,263.92,0.42,92,0,265.42
430.15,440.59,0.4,130,0,431.23
460.33,479.03,0.47,198,0,451.68
243.64,231.66,0.23,187,0,216.13
171.05,182.95,0.41,71,0,176.42
228.0,246.98,0.12,165,0,212.5
437.06,448.25,0.5,87,0,436.44
306.91,287.64,0.39,53,0,303.15
301.84,282.23,0.54,32,1,308.69
421.03,415.34,0.09,102,0,390.53
360.26,372.28,0.4,48,1,380.28
453.3,457.09,0.41,72,0,454.85
369.08,383.92,0.68,61,0,373.37
347.37,349.49,0.63,133,1,366.98
339.61,340.67,0.43,11,0,348.41
442.3,431.07,0.54,54,0,441.38
442.32,439.67,0.6,58,0,438.52
356.1,338.99,0.1,190,0,318.23
128.39,146.82,0.73,36,0,141.61
494.44,476.05,0.45,176,0,472.5
63.23,59.05,0.8,163,0,61.73
316.56,333.05,0.83,11,0,355.51
426.2,415.63,0.4,86,0,421.76
280.68,277.2,0.78,165,0,285.95
441.84,439.65,0.05,129,0,411.77
190.47,186.43,0.55,162,0,180.84
398.06,383.3,0.49,138,1,415.35
198.9,196.85,0.6,75,1,208.73
161.92,166.61,0.33,27,0,165.69
348.71,347.7,0.6,119,1,368.79
440.72,428.96,0.43,129,0,434.5
73.26,78.86,0.39,34,0,79.28
192.27,192.56,0.68,183,0,185.52
350.09,335.67,0.57,127,0,342.2
472.92,482.23,0.42,7,0,489.61
483.51,473.72,0.41,192,1,493.82
357.46,357.35,0.69,112,0,361.74
360.29,367.35,0.56,146,1,385.85
350.14,353.22,0.3,191,0,343.58
233.11,247.94,0.41,72,0,235.44
99.1,105.12,0.68,140,0,100.26
418.03,402.83,0.47,53,0,411.75
333.59,337.99,0.1,92,0,308.94
217.96,207.05,0.71,10,0,240.02
328.77,327.31,0.7,47,1,350.89
416.19,400.55,0.44,132,0,412.3
290.12,294.44,0.64,107,1,302.85
138.1,118.4,0.62,46,0,136.74
344.61,339.81,0.48,18,0,355.09
165.55,156.94,0.22,26,1,160.05
311.42,295.0,0.36,76,0,302.71
131.52,138.76,0.81,73,0,139.74
182.88,194.61,0.34,53,0,181.83
334.92,352.97,0.47,118,0,340.49
317.09,328.84,0.29,120,1,318.4
209.04,198.51,0.6,36,0,208.2
433.03,439.89,0.62,182,0,416.61
381.59,396.11,0.64,118,0,382.73
190.52,179.73,0.61,77,0,182.87
113.8,104.78,0.26,6,0,105.75
242.69,251.39,0.61,166,0,234.46
340.38,344.21,0.83,72,0,362.62
209.75,192.53,0.35,4,0,213.32
172.02,175.73,0.51,66,0,171.37
199.85,206.63,0.83,29,0,216.68
89.95,108.41,0.58,30,0,92.19
234.27,231.17,0.03,22,0,213.46
496.62,513.7,0.4,107,0,503.46
91.82,82.1,0.59,15,0,88.71
78.4,63.11,0.57,150,0,72.41
89.44,106.92,0.13,179,0,90.03
443.0,429.47,0.6,149,0,443.86
433.14,421.48,0.41,157,0,410.9
145.39,158.14,0.73,142,0,156.13
362.73,356.57,0.51,24,0,360.67
191.18,195.43,0.53,64,0,195.1
128.68,128.78,0.29,116,0,119.48
277.75,267.05,0.44,172,0,269.48
244.62,237.1,0.0,59,1,232.57
57.96,62.06,0.56,150,0,54.8
401.34,399.73,0.53,82,0,396.61
402.21,392.83,0.43,6,0,409.1
279.24,299.11,0.59,51,0,286.76
431.61,440.58,0.74,115,0,466.05
209.41,210.43,0.24,85,1,203.09
110.21,106.95,0.49,78,0,111.04
135.36,140.12,0.69,180,1,143.85
269.53,253.92,0.4,187,0,255.41
169.71,155.68,0.65,179,1,167.51
480.3,465.63,0.25,191,0,425.3
359.66,357.16,0.64,57,0,361.72
421.31,421.13,0.4,7,1,462.14
326.27,308.94,0.26,159,1,303.01
71.52,53.04,0.51,86,0,61.7
82.07,62.55,0.23,138,1,79.03
402.73,396.92,0.31,185,0,388.49
393.97,384.57,0.62,193,0,372.46
164.94,155.36,0.76,104,0,173.91
68.88,87.62,0.37,1,0,77.73
386.63,399.1,0.69,123,0,385.81
99.86,103.8,0.45,77,0,102.18
474.38,464.01,0.34,171,0,458.54
340.61,332.05,0.56,11,1,367.52
389.77,388.19,0.55,135,0,389.87
131.27,113.42,0.72,88,1,138.62
124.17,109.44,0.34,179,1,119.14
277.63,291.26,0.56,188,0,273.12
97.67,83.73,0.84,29,1,107.7
392.5,378.91,0.45,128,0,392.24
175.06,162.81,0.5,63,1,178.23
299.79,309.11,0.26,168,0,272.54
285.87,299.79,0.59,57,0,292.51
141.12,159.44,0.21,69,1,148.81
215.74,213.68,0.28,19,0,203.99
112.02,118.54,0.42,16,0,117.71
339.05,321.64,0.26,79,0,312.12
73.76,73.23,0.82,187,1,80.22
84.68,67.02,0.81,108,0,90.13
144.43,157.43,0.04,93,0,137.56
89.87,78.69,0.57,46,1,95.88
339.15,336.0,0.74,142,0,365.35
222.72,225.6,0.62,143,0,224.24
490.84,477.45,0.64,117,0,487.01
184.43,202.05,0.84,169,1,203.57
219.61,218.08,0.0,191,0,193.2
86.27,95.39,0.34,162,0,88.28
394.48,380.84,0.3,30,1,412.2
56.03,47.34,0.56,105,0,51.04
161.14,177.39,0.33,181,0,163.82
170.66,156.92,0.32,183,0,161.76
302.9,296.73,0.71,69,1,336.13
348.71,367.24,0.35,142,1,372.73
422.54,434.05,0.48,20,0,427.54
139.14,141.76,0.97,146,0,154.14
485.31,472.63,0.34,85,0,481.74
101.65,116.05,0.47,185,0,105.33
296.98,301.49,0.61,73,0,302.79
432.49,439.25,0.41,97,1,458.34
387.18,378.8,0.44,58,0,380.18
403.83,391.88,0.54,134,1,423.3
391.29,401.46,0.31,13,0,407.55
493.25,504.13,0.59,190,0,475.19
204.65,195.95,0.75,166,0,211.71
221.19,232.21,0.41,50,0,221.36
92.32,86.58,0.34,71,0,89.56
461.79,463.11,0.69,41,0,462.77
124.72,129.25,0.66,106,1,129.47
140.91,128.28,0.45,100,0,140.32
190.92,202.87,0.57,118,1,204.38
492.85,499.57,0.39,12,0,517.09
490.9,497.15,0.58,130,0,494.97
450.62,433.79,0.35,132,1,469.17
183.42,200.15,0.56,120,0,191.66
256.67,250.98,0.41,130,1,269.59
159.95,144.47,0.55,162,0,148.19
252.66,262.61,0.41,184,0,247.57
382.13,394.38,0.4,32,0,387.57
196.3,203.75,0.63,155,0,188.33
344.88,364.55,0.67,46,0,347.9
64.94,57.09,0.42,45,0,66.62
154.74,167.04,0.67,150,0,157.33
220.78,209.85,0.57,71,0,216.62
411.06,410.22,0.49,13,1,447.17
436.25,427.94,0.44,178,1,443.69
427.76,447.03,0.7,123,1,487.65
442.74,427.24,0.91,165,0,447.72
168.49,150.34,0.16,141,0,149.22
184.96,194.69,0.61,195,0,185.18
444.77,437.98,0.61,61,0,438.08
312.26,332.08,0.95,49,0,341.65
163.54,152.35,0.84,188,0,169.02
79.11,97.34,0.48,7,0,86.65
192.63,190.01,0.6,25,0,188.55
476.65,474.46,0.77,156,0,492.77
109.26,98.63,0.32,90,0,106.13
335.35,318.18,0.31,152,0,313.86
321.83,338.13,0.46,184,0,315.28
138.24,142.68,0.18,83,0,130.06
52.48,32.78,0.44,84,0,43.75
228.56,210.33,0.35,8,1,242.38
418.19,419.46,0.54,38,0,420.59
496.77,482.03,0.7,45,0,491.24
378.44,393.73,0.26,188,0,347.85
479.78,492.63,0.67,7,1,523.66
372.91,386.09,0.66,160,0,362.5
104.46,101.22,0.26,83,1,100.48
194.49,204.48,0.86,193,1,215.98
275.97,261.52,0.29,120,0,249.04
337.04,346.68,0.76,93,0,358.65
239.92,231.72,0.52,64,0,236.45
459.56,471.88,0.47,151,0,450.63
361.62,358.82,0.2,98,0,335.89
437.78,441.4,0.39,194,1,451.0
243.94,236.7,0.23,47,0,223.39
62.34,58.06,0.78,155,0,59.44
450.54,444.38,1.0,147,0,480.4
220.51,200.78,0.75,138,0,231.8
322.6,317.18,0.4,115,0,321.57
97.37,84.06,0.51,44,0,88.76
63.93,59.45,0.58,50,0,65.15
256.34,247.91,0.48,86,0,258.75
295.42,278.95,0.55,58,1,305.92
223.48,217.1,0.26,48,0,202.6
161.11,174.65,0.53,130,0,162.76
137.58,119.89,0.25,43,1,130.02
124.36,127.68,0.33,124,0,126.62
270.0,266.08,0.72,18,0,297.07
67.76,66.78,0.89,163,1,69.89
316.86,320.82,0.38,148,0,318.54
75.98,83.21,0.08,168,1,78.52
116.96,115.47,0.5,95,0,114.53
271.14,272.04,0.58,189,0,260.78
280.07,279.77,0.71,81,0,300.61
316.13,328.4,0.54,162,0,304.84
434.28,431.85,0.62,188,1,436.65
264.58,272.09,0.0,170,1,252.92
334.64,340.42,0.39,34,0,340.95
53.99,73.9,0.7,7,1,65.21
51.04,32.81,0.74,142,0,51.68
396.02,402.36,0.21,126,1,392.16
96.98,92.95,0.31,3,0,94.83
206.97,191.41,0.7,187,0,197.03
52.74,36.78,0.58,144,0,50.9
368.19,350.2,0.66,193,0,351.57
145.0,159.54,0.18,119,0,143.27
194.67,193.73,0.35,64,0,191.58
65.15,53.74,0.8,30,1,70.33
252.21,255.64,0.4,199,0,245.78
286.83,285.35,0.35,78,0,286.59
114.29,125.31,0.29,11,0,111.04
110.22,115.41,0.37,95,0,115.73
312.47,311.15,0.5,133,0,314.48
192.32,176.4,0.23,154,1,177.95
458.24,475.96,0.34,82,1,487.99
483.84,467.41,0.49,160,1,491.16
354.13,339.7,0.9,148,1,393.23
175.3,160.48,0.58,20,0,172.2
499.76,483.95,0.53,47,0,498.68
264.19,248.62,0.75,104,0,280.69
237.43,250.31,0.63,30,0,240.0
441.39,450.61,0.73,86,0,473.01
111.47,117.54,0.61,17,0,121.94
73.49,80.78,0.99,20,0,79.5
76.14,60.6,0.3,137,0,67.48
359.62,349.3,0.54,162,0,342.98
288.92,292.73,0.52,23,0,293.84
68.75,64.65,0.45,15,0,70.14
489.21,474.23,0.81,180,0,498.95
215.48,202.75,0.12,152,0,189.97
206.64,201.51,0.35,15,0,213.97
296.77,311.94,0.6,7,0,314.51
256.1,252.02,0.89,131,1,290.68
471.82,475.95,0.36,171,0,461.12
474.23,485.63,0.49,95,0,479.09
302.58,313.66,0.63,198,0,296.54
401.59,404.73,0.33,10,1,440.48
457.89,444.44,0.72,174,1,492.98
261.49,277.1,0.6,173,0,253.5
53.53,58.77,0.28,177,0,52.28
209.42,227.38,0.47,45,0,212.56
413.13,411.52,0.06,2,0,396.2
144.13,126.13,0.81,160,0,148.22
287.25,282.93,0.35,67,1,306.99
370.28,389.52,0.56,75,0,375.42
317.1,300.03,0.53,3,1,344.04
209.77,217.7,0.51,42,0,216.92
390.79,377.26,0.86,93,0,415.75
123.21,125.82,0.46,85,1,131.93
425.93,437.31,0.68,170,0,417.52
130.05,130.64,0.08,175,0,116.31
63.13,62.36,0.34,8,0,70.01
479.68,479.47,0.57,88,0,478.33
226.61,236.78,0.13,17,1,231.79
308.23,304.85,0.7,192,0,313.84
463.21,447.28,0.19,104,0,430.57
116.68,123.86,0.51,168,1,121.77
246.48,249.68,0.82,146,0,263.99
456.69,470.52,0.52,132,0,463.64
264.35,264.25,0.58,40,0,265.26
64.76,70.21,0.23,67,0,65.66
257.0,240.8,0.68,23,0,248.66
444.15,445.71,0.65,115,0,439.99
107.54,118.16,0.36,137,0,107.76
54.54,52.04,0.51,127,0,56.08
485.08,474.05,0.74,196,0,498.15
453.22,465.94,0.66,111,1,479.23
216.92,233.0,0.38,148,0,220.55
236.51,246.66,0.78,31,0,258.92
312.7,330.79,0.18,152,0,286.99
401.33,409.67,0.66,50,0,408.16
422.38,430.27,0.44,0,0,435.78
432.71,426.5,0.86,161,1,466.75
205.4,198.83,0.71,174,0,210.39
190.39,189.69,0.69,99,0,192.53
222.96,203.97,0.2,58,0,203.72
290.43,292.06,0.43,192,0,280.58
103.32,121.78,0.58,88,0,106.96
180.52,195.38,0.44,114,0,180.69
190.79,208.2,0.23,71,0,183.15
179.43,171.71,0.64,26,0,181.47
243.74,258.86,0.21,32,0,230.54
358.45,351.75,0.62,193,0,342.71
491.92,503.32,0.39,146,0,496.35
495.66,488.67,0.57,62,0,498.37
80.38,81.12,0.45,196,0,78.61
142.0,142.79,0.32,70,0,139.29
267.37,258.11,0.69,21,0,265.54
127.45,144.47,0.24,19,0,123.57
319.57,324.52,0.24,33,0,297.42
303.65,301.67,0.67,95,0,301.18
171.99,175.9,0.46,21,0,171.9
72.72,77.82,0.56,44,0,71.78
252.61,270.92,0.72,105,0,272.94
349.25,349.17,0.43,26,0,345.15
386.77,403.35,0.18,92,0,364.06
498.32,487.48,0.41,42,0,492.49
371.32,354.98,0.56,179,0,350.91
146.48,137.32,0.45,175,1,144.95
241.15,229.76,0.82,93,1,272.85
412.29,425.21,0.83,186,0,432.02
228.85,229.4,0.7,72,0,232.01
200.12,214.73,0.35,96,1,217.38
404.32,402.5,0.23,187,1,382.09
290.76,276.54,0.64,78,0,289.74
181.57,179.33,0.36,53,0,178.0
176.47,184.99,0.5,165,0,170.45
121.77,108.19,0.66,108,1,123.98
412.63,392.95,0.57,139,0,406.88
291.0,285.27,0.71,152,1,312.64
414.2,425.65,0.41,109,0,417.69
473.5,488.56,0.45,108,0,474.96
436.47,443.55,0.33,75,1,465.52
247.64,252.07,0.59,140,0,247.82
270.22,267.4,0.31,103,1,284.83
405.24,397.12,0.09,125,0,378.35
158.69,152.86,0.61,114,0,157.14
323.49,313.3,0.47,146,0,322.93
307.36,326.81,0.38,136,0,312.48
293.41,301.26,0.33,177,0,285.96
308.93,289.82,0.61,47,0,299.37
201.74,187.46,0.3,68,0,199.25
397.84,415.9,0.63,192,0,392.26
81.07,80.04,0.91,159,0,87.13
379.09,386.98,0.69,55,1,405.9
429.5,428.9,0.72,156,0,446.4
447.15,445.8,0.37,180,0,432.58
56.98,48.21,0.23,103,1,48.9
341.74,324.71,0.48,65,0,341.52
154.2,171.9,0.49,2,0,163.63
80.92,75.7,0.39,59,0,80.92
368.94,349.28,0.63,48,0,364.36
92.92,77.06,0.27,47,0,84.32
312.67,323.95,0.65,57,0,311.2
143.26,151.79,0.62,58,0,142.77
450.68,460.68,0.54,130,0,456.43
433.66,435.33,0.56,61,0,433.9
372.38,363.22,0.37,39,0,373.25
440.89,449.86,0.3,138,0,408.49
363.27,358.58,0.6,112,0,363.79
168.83,186.39,0.71,60,0,183.61
135.92,143.7,0.59,21,0,141.02
419.74,418.2,0.23,118,0,385.78
364.53,359.26,0.41,62,0,362.1
449.81,462.78,0.49,59,0,455.37
195.36,211.28,0.43,156,0,194.97
92.45,102.37,0.65,181,0,96.86
421.99,438.12,0.99,143,0,452.67
60.09,54.51,0.26,181,0,50.45
344.45,333.73,0.77,159,0,352.2
52.41,69.94,0.63,196,1,59.49
311.43,331.05,0.43,73,0,318.1
306.27,321.0,0.81,138,1,349.41
287.45,275.92,0.72,165,0,288.58
254.64,261.64,0.61,54,1,267.1
466.27,471.54,0.53,88,0,465.6
120.29,125.73,0.4,3,0,123.18
69.05,72.24,0.63,177,0,70.38
324.36,332.35,0.49,11,0,339.97
459.6,465.16,0.74,65,1,522.58
316.78,310.98,0.56,149,0,310.7
153.86,170.48,0.22,173,0,140.34
438.35,453.79,0.63,175,0,430.64
448.06,433.07,0.38,118,0,447.97
399.16,384.28,0.37,123,0,399.45
417.64,431.74,0.37,107,0,421.62
74.85,92.55,0.46,159,0,74.01
487.88,498.26,0.49,55,0,488.07
333.76,322.55,0.6,55,0,327.96
209.89,216.85,0.42,191,0,209.5
172.11,156.06,0.57,30,0,167.93
411.71,397.2,0.54,151,0,390.68
269.53,252.82,1.0,56,0,281.2
213.71,201.34,0.63,167,0,199.52
70.23,55.29,0.09,12,1,70.66
217.16,204.97,0.84,190,0,222.21
346.14,330.82,0.49,47,0,339.82
254.3,264.79,0.45,80,1,271.79
381.31,381.82,0.44,13,0,392.11
298.7,293.58,0.32,165,1,299.25
434.42,434.05,0.58,149,0,435.07
301.44,296.29,0.36,137,0,295.77
300.55,314.36,0.66,68,0,306.42
149.23,137.96,0.43,149,0,147.08
320.13,302.27,0.61,80,0,314.35
208.05,191.8,0.67,108,1,215.92
466.04,477.47,0.49,12,0,485.44
392.26,378.44,0.0,144,0,365.01
219.11,227.44,0.4,81,0,216.91
142.0,135.62,0.98,179,0,144.57
72.61,54.01,0.54,160,1,72.63
498.38,510.22,0.34,31,0,504.18
100.22,104.55,0.64,71,1,109.09
324.85,312.84,0.52,94,0,318.61
354.83,357.46,0.37,150,1,374.15
193.12,203.1,0.33,176,0,187.81
63.55,82.01,0.47,62,0,70.46
318.78,324.92,0.38,37,1,342.32
382.58,373.68,0.32,42,0,379.47
355.15,356.87,0.34,82,0,354.07
85.52,83.23,0.11,128,0,83.77
293.45,312.85,0.48,165,0,284.92
123.26,127.06,0.64,118,1,130.77
275.68,265.55,0.92,25,0,289.67
129.74,121.51,0.43,194,0,118.28
53.1,41.59,0.31,161,1,49.18
390.86,382.66,0.85,175,0,398.43
135.77,123.16,0.33,176,1,131.19
268.62,253.29,0.12,142,1,255.13
380.25,385.54,0.14,69,1,372.82
379.85,386.2,0.77,17,0,426.7
285.41,293.4,0.78,179,0,300.07
410.44,394.62,0.09,180,0,360.22
491.26,479.84,0.53,192,0,471.81
438.56,427.48,0.36,166,0,420.57
183.36,200.89,0.12,30,0,177.71
256.07,245.13,0.33,110,0,249.17
359.94,375.85,0.45,98,0,363.34
412.57,405.7,0.53,89,0,413.86
211.25,227.77,0.24,71,1,215.3
223.07,221.44,0.55,162,0,216.57
84.46,81.29,0.63,19,0,88.0
328.66,321.94,0.53,13,1,354.71
157.61,158.11,0.71,147,0,167.83
425.14,437.73,0.77,60,0,462.67
483.02,480.78,0.54,127,0,478.05
227.87,215.14,0.83,186,0,235.3
120.33,109.13,0.87,2,0,130.05
379.17,397.49,0.53,44,1,401.4
259.08,254.26,0.27,29,0,239.81
354.85,351.99,0.3,59,0,357.92
346.12,326.45,0.55,5,0,355.78
267.81,268.37,0.43,5,0,272.74
172.4,152.65,0.8,132,1,192.37
248.26,233.55,0.36,149,0,241.51
495.65,476.68,0.83,17,0,548.12
131.53,136.44,0.71,174,0,137.12
462.62,473.68,0.54,24,0,468.18
360.68,354.3,0.29,126,0,335.14
321.1,307.62,0.43,63,0,312.42
467.11,455.66,0.4,15,0,478.95
62.89,66.22,0.48,75,0,64.55
52.82,35.29,0.49,154,0,43.42
456.91,451.9,0.37,11,0,468.03
149.8,142.5,0.51,35,1,160.31
92.91,90.91,0.67,157,0,87.38
348.26,363.08,0.43,124,0,351.05
227.56,228.76,0.55,63,0,232.02
296.34,305.69,0.26,62,0,277.48
355.86,338.13,0.48,33,0,351.96
166.92,182.37,0.42,179,0,161.93
100.01,105.94,0.56,147,0,105.03
228.65,214.9,0.57,125,0,220.34
65.72,85.31,0.49,94,1,80.05
407.22,413.6,0.41,184,0,396.26
493.33,504.05,0.16,193,0,447.11
432.76,420.82,0.09,158,0,388.48
300.29,311.47,0.63,129,0,303.76
77.45,68.97,0.36,49,0,78.38
195.95,203.01,0.83,143,0,206.8
220.15,205.88,0.8,95,0,233.2
155.0,160.01,0.34,164,0,148.2
104.9,112.96,0.64,26,0,105.73
265.34,282.49,0.42,9,0,277.36
62.53,67.79,0.09,64,0,61.98
271.67,277.01,0.42,14,1,299.52
303.76,303.77,0.75,137,0,328.43
107.37,119.38,0.68,188,1,115.85
354.36,361.55,0.64,17,0,366.46
390.35,373.62,0.46,197,0,375.7
